locus_tag,gene_name,accession,old_locus_tag,start,stop,strand,gene_product,COG,uniprot,operon
Rv2207,cobT,NC_000962.3,,2471411,2472496,+,nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase,Nucleotide transport and metabolism,P9WP85,Op1383
Rv2208,cobS,NC_000962.3,,2472493,2473242,+,adenosylcobinamide-GDP ribazoletransferase,Coenzyme transport and metabolism,P9WP91,Op1383
Rv2209,Rv2209,NC_000962.3,,2473400,2474938,+,integral membrane protein,Amino acid transport and metabolism,P9WLI3,Op1384
Rv2210c,ilvE,NC_000962.3,,2474864,2475970,-,branched-chain amino acid aminotransferase,Amino acid transport and metabolism,P9WQ75,Op1385
Rv2211c,gcvT,NC_000962.3,,2476042,2477181,-,aminomethyltransferase,Amino acid transport and metabolism,P9WN51,Op1386
Rv2212,Rv2212,NC_000962.3,,2477190,2478326,+,adenylyl cyclase,Signal transduction mechanisms,P9WMU7,Op1387
Rv2213,pepB,NC_000962.3,,2478338,2479885,+,cytosol aminopeptidase,Amino acid transport and metabolism,P9WHT3,Op1387
Rv2214c,ephD,NC_000962.3,,2479923,2481701,-,oxidoreductase EphD,Lipid transport and metabolism,P9WGS3,Op1388
Rv2215,dlaT,NC_000962.3,,2481965,2483626,+,pyruvate dehydrogenase E2 component dihydrolipoamide acyltransferase,Energy production and conversion,P9WIS7,Op1389
Rv2216,Rv2216,NC_000962.3,,2483626,2484531,+,epimerase family protein,Function unknown,P9WGP7,Op1389
Rv2217,lipB,NC_000962.3,,2484584,2485276,+,octanoyltransferase,Coenzyme transport and metabolism,P9WK83,Op1390
Rv2218,lipA,NC_000962.3,,2485273,2486208,+,lipoyl synthase,Coenzyme transport and metabolism,P9WK91,Op1390
Rv2219,Rv2219,NC_000962.3,,2486235,2486987,+,transmembrane protein,Function unknown,P9WLI1,Op1390
Rv2219A,Rv2219A,NC_000962.3,,2486994,2487416,-,membrane protein,Function unknown,Q79FG7,Op1391
Rv2220,glnA1,NC_000962.3,,2487615,2489051,+,glutamine synthetase,Amino acid transport and metabolism,P9WN39,Op1392
Rv2221c,glnE,NC_000962.3,,2489369,2492353,-,[glutamate--ammonia-ligase] adenylyltransferase,Coenzyme transport and metabolism,P9WN27,Op1393
Rv2222c,glnA2,NC_000962.3,,2492402,2493742,-,glutamine synthetase,Amino acid transport and metabolism,P9WN37,Op1394
Rv2223c,Rv2223c,NC_000962.3,,2493837,2495399,-,carboxylesterase B,Function unknown,P9WHR5,Op1395
Rv2224c,caeA,NC_000962.3,,2495461,2497023,-,carboxylesterase A,Function unknown,P9WHR3,Op1396
Rv2224d,Rv2224d,NC_000962.3,,2497225,2497446,-,hypothetical protein,Lipid transport and metabolism,UPI0001534091,Op1397
Rv2225,panB,NC_000962.3,,2497742,2498587,+,3-methyl-2-oxobutanoate hydroxymethyltransferase,Coenzyme transport and metabolism,P9WIL7,Op1398
Rv2226,Rv2226,NC_000962.3,,2498832,2500373,+,hypothetical protein,Function unknown,P9WLH9,Op1399
Rv2227,Rv2227,NC_000962.3,,2500931,2501632,+,hypothetical protein,Function unknown,P9WLH7,Op1400
Rv2228c,Rv2228c,NC_000962.3,,2501644,2502738,-,multifunctional RNASE H/alpha-ribazole phosphatase/acid phosphatase,Carbohydrate transport and metabolism,P9WLH5,Op1401
Rv2229c,Rv2229c,NC_000962.3,,2502735,2503472,-,hypothetical protein,Function unknown,P9WLH3,Op1401
Rv2230c,Rv2230c,NC_000962.3,,2503469,2504608,-,GTP cyclohydrolase,Function unknown,P9WFM1,Op1401
Rv2231c,cobC,NC_000962.3,,2504605,2505699,-,aminotransferase,Amino acid transport and metabolism,P9WQ89,Op1401
Rv2231A,vapC16,NC_000962.3,,2505736,2506161,-,ribonuclease VapC16,Function unknown,P0CV93,Op1401
Rv2231B,vapB16,NC_000962.3,,2506207,2506383,-,antitoxin VapB16,No COG annotation,P0CW31,Op1402
Rv2232,ptkA,NC_000962.3,,2506278,2507153,+,protein tyrosine kinase transcriptional regulator PtkA,Function unknown,P9WPI9,Op1403
Rv2234,ptpA,NC_000962.3,,2507146,2507637,+,protein-tyrosine-phosphatase,Signal transduction mechanisms,P9WIA1,Op1403
Rv2235,Rv2235,NC_000962.3,,2507637,2508452,+,transmembrane protein,Function unknown,P9WGA7,Op1403
Rv2236c,cobD,NC_000962.3,,2508434,2509375,-,cobalamin biosynthesis transmembrane protein CobD,Coenzyme transport and metabolism,P9WP93,Op1404
Rv2237,Rv2237,NC_000962.3,,2509489,2510256,+,hypothetical protein,Function unknown,P9WLH1,Op1405
Rv2237A,Rv2237A,NC_000962.3,,2510351,2510587,-,hypothetical protein,No COG annotation,I6XDU8,Op1406
Rv2238c,ahpE,NC_000962.3,,2510715,2511176,-,peroxiredoxin,"Post-translational modification, protein turnover,and chaperones",P9WIE3,Op1407
Rv2239c,Rv2239c,NC_000962.3,,2511176,2511652,-,hypothetical protein,Function unknown,P9WLG9,Op1407
Rv2240c,Rv2240c,NC_000962.3,,2511690,2512280,-,hypothetical protein,No COG annotation,P9WLG7,Op1407
Rv2241,aceE,NC_000962.3,,2512539,2515244,+,pyruvate dehydrogenase E1 component,Energy production and conversion,P9WIS9,Op1408
Rv2242,Rv2242,NC_000962.3,,2515304,2516548,+,hypothetical protein,Transcription,P9WPH5,Op1409
Rv2243,fabD,NC_000962.3,,2516787,2517695,+,malonyl CoA-acyl carrier protein transacylase,Lipid transport and metabolism,P9WNG5,Op1410
Rv2244,acpM,NC_000962.3,,2517771,2518118,+,meromycolate extension acyl carrier protein,Lipid transport and metabolism,P9WQF3,Op1411
Rv2245,kasA,NC_000962.3,,2518115,2519365,+,3-oxoacyl-ACP synthase 1,Lipid transport and metabolism,P9WQD9,Op1411
Rv2246,kasB,NC_000962.3,,2519396,2520712,+,3-oxoacyl-ACP synthase 2,Lipid transport and metabolism,P9WQD7,Op1411
Rv2247,accD6,NC_000962.3,,2520743,2522164,+,acetyl-/propionyl-CoA carboxylase subunit beta,Lipid transport and metabolism,P9WQH5,Op1411
Rv2248,Rv2248,NC_000962.3,,2522360,2523175,+,hypothetical protein,Function unknown,P9WLG5,Op1412
Rv2249c,glpD1,NC_000962.3,,2523241,2524791,-,glycerol-3-phosphate dehydrogenase,Energy production and conversion,P9WN81,Op1413
Rv2250c,Rv2250c,NC_000962.3,,2524785,2525354,-,HTH-type transcriptional regulator,Transcription,P9WMC5,Op1413
Rv2251,Rv2251,NC_000962.3,,2525565,2526992,+,flavoprotein,Energy production and conversion,L0TBR2,Op1414
Rv2252,Rv2252,NC_000962.3,,2526989,2527918,+,diacylglycerol kinase,Lipid transport and metabolism,P9WP29,Op1414
Rv2253,Rv2253,NC_000962.3,,2527984,2528487,+,hypothetical protein,No COG annotation,O53527,Op1415
Rv2254c,Rv2254c,NC_000962.3,,2528520,2528975,-,integral membrane protein,Amino acid transport and metabolism,O53528,Op1416
Rv2256a,Rv2256a,NC_000962.3,,2528980,2529174,-,hypothetical protein,No COG annotation,O53529,Op1417
Rv2256c,Rv2256c,NC_000962.3,,2529341,2529874,-,hypothetical protein,Function unknown,O53530,Op1418
Rv2257c,Rv2257c,NC_000962.3,,2530004,2530822,-,hypothetical protein,Defense mechanisms,O53531,Op1419
Rv2258c,Rv2258c,NC_000962.3,,2530836,2531897,-,transcriptional regulator,Cell wall/membrane/envelope biogenesis,O53532,Op1419
Rv2259,mscR,NC_000962.3,,2532245,2533330,+,S-nitrosomycothiol reductase MscR,Energy production and conversion,O53533,Op1420
Rv2260,Rv2260,NC_000962.3,,2533330,2533965,+,hypothetical protein,Function unknown,O53534,Op1420
Rv2263,Rv2263,NC_000962.3,,2535641,2536594,+,oxidoreductase,Lipid transport and metabolism,O53537,Op1421
Rv2264c,Rv2264c,NC_000962.3,,2536572,2538350,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",O53538,Op1422
Rv2265,Rv2265,NC_000962.3,,2538700,2539929,+,integral membrane protein,Amino acid transport and metabolism,P9WLG3,Op1423
Rv2266,cyp124,NC_000962.3,,2540104,2541390,+,cytochrome P450 Cyp124,"Secondary metabolites biosynthesis, transport, and catabolism",P9WPP3,Op1424
Rv2267c,Rv2267c,NC_000962.3,,2541644,2542810,-,hypothetical protein,Function unknown,P9WLG1,Op1425
Rv2268c,cyp128,NC_000962.3,,2542807,2544276,-,cytochrome P450 Cyp128,"Secondary metabolites biosynthesis, transport, and catabolism",P9WPN7,Op1425
Rv2269c,Rv2269c,NC_000962.3,,2544289,2544621,-,hypothetical protein,No COG annotation,P9WLF9,Op1425
Rv2270,lppN,NC_000962.3,,2544698,2545225,+,lipoprotein LppN,No COG annotation,P9WK73,Op1426
Rv2271,Rv2271,NC_000962.3,,2545332,2545631,+,hypothetical protein,Function unknown,P9WLF7,Op1427
Rv2272,Rv2272,NC_000962.3,,2545737,2546105,+,transmembrane protein,Function unknown,P9WLF5,Op1428
Rv2273,Rv2273,NC_000962.3,,2546102,2546431,+,transmembrane protein,Function unknown,P9WLF3,Op1428
Rv2274c,mazF8,NC_000962.3,,2546488,2546805,-,toxin MazF8,No COG annotation,P9WIH7,Op1429
Rv2274A,mazE8,NC_000962.3,,2546839,2547087,-,antitoxin MazE8,No COG annotation,P0CL60,Op1429
Rv2275,Rv2275,NC_000962.3,,2546883,2547752,+,cyclo(L-tyrosyl-L-tyrosyl) synthase,Function unknown,P9WPF9,Op1430
Rv2276,cyp121,NC_000962.3,,2547749,2548939,+,cytochrome P450 Cyp121,Energy production and conversion,P9WPP7,Op1430
Rv2277c,Rv2277c,NC_000962.3,,2549124,2550029,-,glycerolphosphodiesterase,Energy production and conversion,P9WLF1,Op1431
Rv2281,pitB,NC_000962.3,,2553173,2554831,+,phosphate permease,Inorganic ion transport and metabolism,P9WIA5,Op1432
Rv2282c,Rv2282c,NC_000962.3,,2554938,2555876,-,LysR family HTH-type transcriptional regulator,Transcription,P9WMF3,Op1433
Rv2283,Rv2283,NC_000962.3,,2555941,2556135,+,hypothetical protein,No COG annotation,P9WLE9,Op1434
Rv2284,lipM,NC_000962.3,,2556145,2557440,+,esterase LipM,Lipid transport and metabolism,Q50681,Op1434
Rv2285,Rv2285,NC_000962.3,,2557473,2558810,+,diacylglycerol acyltransferase,Lipid transport and metabolism,P9WKB5,Op1434
Rv2286c,Rv2286c,NC_000962.3,,2558877,2559569,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",P9WLE7,Op1435
Rv2287,yjcE,NC_000962.3,,2559703,2561331,+,Na(+)/H(+) transporter,Inorganic ion transport and metabolism,P9WJI3,Op1436
Rv2288,Rv2288,NC_000962.3,,2561328,2561705,+,hypothetical protein,No COG annotation,P9WLE5,Op1436
Rv2289,cdh,NC_000962.3,,2561675,2562457,+,CDP-diacylglycerol pyrophosphatase,Lipid transport and metabolism,P9WPG9,Op1436
Rv2290,lppO,NC_000962.3,,2562599,2563114,+,lipoprotein LppO,Function unknown,P9WK71,Op1437
Rv2291,sseB,NC_000962.3,,2563174,2564028,+,thiosulfate sulfurtransferase SseB,Inorganic ion transport and metabolism,P9WHF5,Op1438
Rv2292c,Rv2292c,NC_000962.3,,2564029,2564253,-,hypothetical protein,Nucleotide transport and metabolism,P9WLE3,Op1439
Rv2293c,Rv2293c,NC_000962.3,,2564292,2565032,-,hypothetical protein,Nucleotide transport and metabolism,P9WLE1,Op1439
Rv2294,Rv2294,NC_000962.3,,2565327,2566550,+,cystathionine beta-lyase,Amino acid transport and metabolism,P9WQ83,Op1440
Rv2295,Rv2295,NC_000962.3,,2566772,2567410,+,hypothetical protein,Function unknown,P9WFL7,Op1441
Rv2296,Rv2296,NC_000962.3,,2567504,2568406,+,haloalkane dehalogenase,Function unknown,P9WMS3,Op1442
Rv2297,Rv2297,NC_000962.3,,2568438,2568890,+,hypothetical protein,No COG annotation,P9WLD9,Op1442
Rv2298,Rv2298,NC_000962.3,,2569082,2570053,+,oxidoreductase,Energy production and conversion,P9WQA7,Op1443
Rv2299c,htpG,NC_000962.3,,2570059,2572002,-,chaperone protein HtpG,"Post-translational modification, protein turnover,and chaperones",P9WMJ7,Op1444
Rv2300c,Rv2300c,NC_000962.3,,2572076,2573008,-,metallo-hydrolase,Function unknown,P9WLD7,Op1445
Rv2301,cut2,NC_000962.3,,2573015,2573707,+,cutinase,Cell wall/membrane/envelope biogenesis,P9WP41,Op1446
Rv2302,Rv2302,NC_000962.3,,2573813,2574055,+,hypothetical protein,Signal transduction mechanisms,P9WLD5,Op1447
Rv2303c,Rv2303c,NC_000962.3,,2574096,2575019,-,antibiotic-resistance protein,Function unknown,Q50662,Op1448
Rv2304c,Rv2304c,NC_000962.3,,2575016,2575225,-,hypothetical protein,No COG annotation,P9WLD3,Op1448
Rv2305,Rv2305,NC_000962.3,,2575809,2577098,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",P9WLD1,Op1449
Rv2307c,Rv2307c,NC_000962.3,,2577851,2578696,-,hypothetical protein,Function unknown,P9WLC7,Op1450
Rv2307A,Rv2307A,NC_000962.3,,2579228,2579419,-,hypothetical protein,No COG annotation,L7N678,Op1451
Rv2307B,Rv2307B,NC_000962.3,,2579504,2579935,-,hypothetical protein,No COG annotation,Q79FG2,Op1452
Rv2307D,Rv2307D,NC_000962.3,,2580028,2580210,-,hypothetical protein,No COG annotation,L7N683,Op1453
Rv2308,Rv2308,NC_000962.3,,2580419,2581135,+,hypothetical protein,Function unknown,P9WLC5,Op1454
Rv2308a,Rv2308a,NC_000962.3,,2581145,2581477,+,hypothetical protein,No COG annotation,UPI00000D2CB3,Op1455
Rv2309A,Rv2309A,NC_000962.3,,2583045,2583332,+,hypothetical protein,No COG annotation,L7N666,Op1456
Rv2310,Rv2310,NC_000962.3,,2583435,2583779,+,excisionase,Transcription,P9WLC3,Op1457
Rv2311,Rv2311,NC_000962.3,,2583884,2584408,+,hypothetical protein,"Replication, recombination and repair",P9WLC1,Op1458
Rv2312,Rv2312,NC_000962.3,,2584486,2584755,+,hypothetical protein,No COG annotation,P9WLB9,Op1459
Rv2313c,Rv2313c,NC_000962.3,,2585052,2585906,-,hypothetical protein,Function unknown,P9WLB7,Op1460
Rv2314c,Rv2314c,NC_000962.3,,2585917,2587290,-,hypothetical protein,Function unknown,P71898,Op1460
Rv2315c,Rv2315c,NC_000962.3,,2587287,2588804,-,hypothetical protein,Function unknown,P71897,Op1460
Rv2316,uspA,NC_000962.3,,2588838,2589710,+,sugar ABC transporter permease UspA,Inorganic ion transport and metabolism,P71896,Op1461
Rv2317,uspB,NC_000962.3,,2589697,2590521,+,sugar ABC transporter permease UspB,Inorganic ion transport and metabolism,L7N652,Op1461
Rv2318,uspC,NC_000962.3,,2590518,2591840,+,sugar ABC transporter substrate-binding lipoprotein UspC,Carbohydrate transport and metabolism,P71894,Op1461
Rv2319c,Rv2319c,NC_000962.3,,2591848,2592726,-,universal stress protein,Signal transduction mechanisms,P9WLB5,Op1462
Rv2320c,rocE,NC_000962.3,,2592723,2594153,-,cationic amino acid transporter permease RocE,Amino acid transport and metabolism,P71892,Op1462
Rv2323c,Rv2323c,NC_000962.3,,2595361,2596269,-,hypothetical protein,Amino acid transport and metabolism,P71889,Op1462
Rv2324,Rv2324,NC_000962.3,,2596334,2596780,+,AsnC family transcriptional regulator,Transcription,P71888,Op1463
Rv2325c,Rv2325c,NC_000962.3,,2597009,2597857,-,hypothetical protein,Inorganic ion transport and metabolism,P9WPI7,Op1464
Rv2326c,Rv2326c,NC_000962.3,,2597854,2599947,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,P9WQI7,Op1464
Rv2327,Rv2327,NC_000962.3,,2599988,2600479,+,hypothetical protein,Transcription,P71885,Op1465
Rv2328,PE23,NC_000962.3,,2600731,2601879,+,PE family protein PE23,Lipid transport and metabolism,P9WIG9,Op1466
Rv2329c,narK1,NC_000962.3,,2601914,2603461,-,nitrate/nitrite transporter,Inorganic ion transport and metabolism,P71883,Op1467
Rv2330c,lppP,NC_000962.3,,2603695,2604222,-,lipoprotein LppP,Function unknown,P9WK69,Op1468
Rv2331,Rv2331,NC_000962.3,,2604297,2604683,+,hypothetical protein,Energy production and conversion,P9WLB3,Op1469
Rv2331A,Rv2331A,NC_000962.3,,2604740,2605078,+,hypothetical protein,Inorganic ion transport and metabolism,Q79FF7,Op1470
Rv2332,mez,NC_000962.3,,2605108,2606754,+,malate oxidoreductase,Energy production and conversion,P9WK25,Op1470
Rv2333c,stp,NC_000962.3,,2606708,2608321,-,multidrug resistance protein,Amino acid transport and metabolism,P9WG91,Op1471
Rv2334,cysK1,NC_000962.3,,2608796,2609728,+,O-acetylserine sulfhydrylase,Amino acid transport and metabolism,P9WP55,Op1472
Rv2335,cysE,NC_000962.3,,2609732,2610421,+,serine acetyltransferase,Amino acid transport and metabolism,P95231,Op1472
Rv2336,Rv2336,NC_000962.3,,2610837,2611805,+,hypothetical protein,No COG annotation,P95232,Op1473
Rv2337c,Rv2337c,NC_000962.3,,2611869,2612987,-,hypothetical protein,Energy production and conversion,P95233,Op1474
Rv2338c,moeW,NC_000962.3,,2613107,2614063,-,molybdopterin biosynthesis protein MoeW,Coenzyme transport and metabolism,P95234,Op1475
Rv2339,mmpL9,NC_000962.3,,2614693,2617581,+,transmembrane transport protein MmpL9,Function unknown,P9WJU3,Op1476
Rv2340c,PE_PGRS39,NC_000962.3,,2617667,2618908,-,PE-PGRS family protein PE_PGRS39,Lipid transport and metabolism,L7N659,Op1477
Rv2341,lppQ,NC_000962.3,,2619597,2620016,+,lipoprotein LppQ,No COG annotation,P95237,Op1478
Rv2342,Rv2342,NC_000962.3,,2620272,2620529,+,hypothetical protein,No COG annotation,P95238,Op1479
Rv2343c,dnaG,NC_000962.3,,2620533,2622452,-,DNA primase,"Replication, recombination and repair",P9WNW1,Op1480
Rv2344c,dgt,NC_000962.3,,2622457,2623752,-,deoxyguanosine triphosphate triphosphohydrolase,Nucleotide transport and metabolism,P9WNY7,Op1480
Rv2345,Rv2345,NC_000962.3,,2623821,2625803,+,transmembrane protein,Cell wall/membrane/envelope biogenesis,P9WFJ5,Op1481
Rv2346c,esxO,NC_000962.3,,2625888,2626172,-,ESAT-6 like protein EsxO,Function unknown,P9WNI7,Op1482
Rv2347c,esxP,NC_000962.3,,2626223,2626519,-,ESAT-6 like protein EsxP,Function unknown,P9WNI5,Op1483
Rv2348c,Rv2348c,NC_000962.3,,2626654,2626980,-,hypothetical protein,No COG annotation,P95244,Op1484
Rv2349c,plcC,NC_000962.3,,2627172,2628698,-,phospholipase C,Cell wall/membrane/envelope biogenesis,P9WIB1,Op1485
Rv2350c,plcB,NC_000962.3,,2628781,2630319,-,membrane-associated phospholipase B,Cell wall/membrane/envelope biogenesis,P9WIB3,Op1485
Rv2351c,plcA,NC_000962.3,,2630537,2632075,-,membrane-associated phospholipase A,Cell wall/membrane/envelope biogenesis,P9WIB5,Op1485
Rv2352c,PPE38,NC_000962.3,,2632923,2634098,-,PPE family protein PPE38,Cell motility,P9WHZ9,Op1486
Rv2353c,PPE39,NC_000962.3,,2634528,2635592,-,PPE family protein PPE39,No COG annotation,Q79FF3,Op1487
Rv2357c,glyS,NC_000962.3,,2639673,2641064,-,glycine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P9WFV7,Op1488
Rv2358,smtB,NC_000962.3,,2641246,2641653,+,HTH-type transcriptional regulator SmtB,Transcription,P9WMI5,Op1489
Rv2359,zur,NC_000962.3,,2641650,2642042,+,zinc uptake regulation protein,Inorganic ion transport and metabolism,P9WN85,Op1489
Rv2360c,Rv2360c,NC_000962.3,,2642150,2642578,-,hypothetical protein,No COG annotation,O05838,Op1490
Rv2361c,Rv2361c,NC_000962.3,,2642578,2643468,-,decaprenyl diphosphate synthase,Coenzyme transport and metabolism,P9WFF7,Op1490
Rv2362c,recO,NC_000962.3,,2643461,2644258,-,DNA repair protein RecO,"Replication, recombination and repair",P9WHI5,Op1490
Rv2363,amiA2,NC_000962.3,,2644320,2645774,+,amidase,"Translation, ribosomal structure and biogenesis",P9WQ99,Op1491
Rv2364c,era,NC_000962.3,,2645771,2646673,-,GTPase Era,Function unknown,P9WNK9,Op1492
Rv2365c,Rv2365c,NC_000962.3,,2646747,2647088,-,hypothetical protein,Nucleotide transport and metabolism,O05833,Op1493
Rv2366c,Rv2366c,NC_000962.3,,2647060,2648367,-,transmembrane protein,Function unknown,P9WFP1,Op1494
Rv2367c,Rv2367c,NC_000962.3,,2648364,2648912,-,endoribonuclease,"Translation, ribosomal structure and biogenesis",P9WGX9,Op1494
Rv2368c,phoH1,NC_000962.3,,2648916,2649974,-,phosphate starvation-inducible protein PhoH,Signal transduction mechanisms,P9WIA3,Op1494
Rv2369c,Rv2369c,NC_000962.3,,2649946,2650248,-,hypothetical protein,No COG annotation,L0TC46,Op1495
Rv2370c,Rv2370c,NC_000962.3,,2650245,2651558,-,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",O05828,Op1495
Rv2371,PE_PGRS40,NC_000962.3,,2651753,2651938,+,PE-PGRS family protein PE_PGRS40,Function unknown,Q79FE9,Op1496
Rv2372c,Rv2372c,NC_000962.3,,2652037,2652825,-,rRNA small subunit methyltransferase E,"Translation, ribosomal structure and biogenesis",P9WGX1,Op1497
Rv2373c,dnaJ2,NC_000962.3,,2652839,2653987,-,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",P9WNV7,Op1497
Rv2374c,hrcA,NC_000962.3,,2654062,2655093,-,heat-inducible transcription repressor HrcA,Transcription,P9WMK3,Op1498
Rv2375,Rv2375,NC_000962.3,,2655265,2655582,+,hypothetical protein,Transcription,O05823,Op1499
Rv2376c,cfp2,NC_000962.3,,2655609,2656115,-,low molecular weight antigen MTB12,No COG annotation,P9WIN7,Op1500
Rv2377c,Rv2377c,NC_000962.3,,2656215,2656430,-,hypothetical protein,Function unknown,P9WIP5,Op1501
Rv2378c,mbtG,NC_000962.3,,2656408,2657703,-,L-lysine N6-monooxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",P9WKF7,Op1502
Rv2379c,mbtF,NC_000962.3,,2657700,2662085,-,peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",O05819,Op1502
Rv2380c,mbtE,NC_000962.3,,2662067,2667115,-,peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",I6Y0L1,Op1502
Rv2381c,mbtD,NC_000962.3,,2667255,2670269,-,polyketide synthetase,Lipid transport and metabolism,P71719,Op1503
Rv2382c,mbtC,NC_000962.3,,2670269,2671603,-,polyketide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",P71718,Op1503
Rv2383c,mbtB,NC_000962.3,,2671593,2675837,-,phenyloxazoline synthase,"Secondary metabolites biosynthesis, transport, and catabolism",P9WQ63,Op1503
Rv2384,mbtA,NC_000962.3,,2675936,2677633,+,2%2C3-dihydroxybenzoate-AMP ligase,"Secondary metabolites biosynthesis, transport, and catabolism",P71716,Op1504
Rv2385,mbtJ,NC_000962.3,,2677729,2678649,+,acetyl hydrolase,Lipid transport and metabolism,Q79FE8,Op1505
Rv2386c,mbtI,NC_000962.3,,2678653,2680005,-,salicylate synthase,Coenzyme transport and metabolism,P9WFX1,Op1506
Rv2386a,Rv2386a,NC_000962.3,,2680458,2680667,+,hypothetical protein,No COG annotation,I6YD99,Op1507
Rv2387,Rv2387,NC_000962.3,,2680765,2682018,+,hypothetical protein,Function unknown,P71757,Op1508
Rv2388c,hemN,NC_000962.3,,2682015,2683142,-,oxygen-independent coproporphyrinogen III oxidase,Coenzyme transport and metabolism,P9WP73,Op1509
Rv2389c,rpfD,NC_000962.3,,2683248,2683712,-,resuscitation-promoting factor RpfD,Cell wall/membrane/envelope biogenesis,I6Y0L9,Op1510
Rv2390c,Rv2390c,NC_000962.3,,2683709,2684266,-,hypothetical protein,No COG annotation,P71754,Op1510
Rv2391,sirA,NC_000962.3,,2684679,2686370,+,sulfite reductase,Energy production and conversion,P9WJ03,Op1511
Rv2392,cysH,NC_000962.3,,2686367,2687131,+,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,P9WIK3,Op1511
Rv2393,che1,NC_000962.3,,2687128,2687973,+,ferrochelatase,Function unknown,P71751,Op1511
Rv2394,ggtB,NC_000962.3,,2688010,2689941,+,gamma-glutamyltranspeptidase precursor GgtB,Amino acid transport and metabolism,P71750,Op1511
Rv2395,Rv2395,NC_000962.3,,2690072,2692075,+,integral membrane protein,Function unknown,P71749,Op1512
Rv2395A,aprA,NC_000962.3,,2692224,2692439,+,acid and phagosome regulated protein AprA,No COG annotation,V5QPR9,Op1513
Rv2395B,aprB,NC_000962.3,,2692551,2692715,+,acid and phagosome regulated protein AprB,No COG annotation,V5QRX2,Op1514
Rv2396,PE_PGRS41,NC_000962.3,,2692799,2693884,+,acid and phagosome regulated protein AprC,Function unknown,Q79FE6,Op1515
Rv2397c,cysA1,NC_000962.3,,2693909,2694964,-,sulfate ABC transporter ATP-binding protein CysA,Inorganic ion transport and metabolism,P9WQM1,Op1516
Rv2398c,cysW,NC_000962.3,,2694981,2695799,-,sulfate ABC transporter permease CysW,Inorganic ion transport and metabolism,P71746,Op1516
Rv2399c,cysT,NC_000962.3,,2695796,2696647,-,sulfate ABC transporter permease CysT,"Post-translational modification, protein turnover,and chaperones",P71745,Op1516
Rv2400c,subI,NC_000962.3,,2696644,2697714,-,sulfate ABC transporter substrate-binding lipoprotein SubI,Inorganic ion transport and metabolism,P71744,Op1516
Rv2401,Rv2401,NC_000962.3,,2697728,2698057,+,hypothetical protein,No COG annotation,O86326,Op1517
Rv2401A,Rv2401A,NC_000962.3,,2698042,2698245,-,membrane protein,No COG annotation,Q79FE4,Op1518
Rv2402,Rv2402,NC_000962.3,,2698529,2700457,+,trehalase,Carbohydrate transport and metabolism,P71741,Op1519
Rv2403c,lppR,NC_000962.3,,2700535,2701290,-,lipoprotein LppR,Function unknown,P71740,Op1520
Rv2404c,lepA,NC_000962.3,,2701287,2703248,-,GTP-binding protein LepA,Cell wall/membrane/envelope biogenesis,P9WK97,Op1520
Rv2405,Rv2405,NC_000962.3,,2703269,2703838,+,hypothetical protein,Signal transduction mechanisms,P71738,Op1521
Rv2406c,Rv2406c,NC_000962.3,,2704009,2704437,-,hypothetical protein,Function unknown,P71737,Op1522
Rv2407,Rv2407,NC_000962.3,,2704697,2705518,+,ribonuclease Z,Function unknown,P9WGZ5,Op1523
Rv2408,PE24,NC_000962.3,,2705762,2706736,+,PE family protein PE24,Lipid transport and metabolism,UPI00015340AA,Op1524
Rv2409c,Rv2409c,NC_000962.3,,2706494,2707333,-,hypothetical protein,Amino acid transport and metabolism,P71734,Op1525
Rv2410c,Rv2410c,NC_000962.3,,2707333,2708310,-,hypothetical protein,Function unknown,P71733,Op1525
Rv2411c,Rv2411c,NC_000962.3,,2708310,2709965,-,hypothetical protein,Function unknown,P9WLA9,Op1525
Rv2412,rpsT,NC_000962.3,,2710075,2710335,+,30S ribosomal protein S20,"Translation, ribosomal structure and biogenesis",P9WH41,Op1526
Rv2413c,Rv2413c,NC_000962.3,,2710351,2711301,-,hypothetical protein,"Replication, recombination and repair",P71730,Op1527
Rv2414c,Rv2414c,NC_000962.3,,2711332,2712876,-,hypothetical protein,Function unknown,P71729,Op1527
Rv2415c,Rv2415c,NC_000962.3,,2712891,2713784,-,hypothetical protein,"Replication, recombination and repair",P71728,Op1527
Rv2416c,eis,NC_000962.3,,2714124,2715332,-,enhanced intracellular survival protein,Function unknown,P9WFK7,Op1528
Rv2417c,Rv2417c,NC_000962.3,,2715472,2716314,-,DegV domain-containing protein,Function unknown,P9WP05,Op1529
Rv2418c,Rv2418c,NC_000962.3,,2716395,2717138,-,hypothetical protein,Amino acid transport and metabolism,P71725,Op1530
